ml	 mAU
0.00	0.00
0.09	0.02
0.18	0.03
0.26	0.01
0.35	0.01
0.44	0.02
0.53	0.01
0.61	0.01
0.70	0.00
0.79	-0.01
0.88	0.00
0.97	-0.01
1.05	-0.04
1.14	-0.05
1.23	0.10
1.32	0.07
1.41	0.06
1.49	5.93
1.58	579.20
1.67	1873.79
1.76	2315.07
1.84	2408.14
1.93	2449.36
2.02	2474.73
2.11	2483.10
2.20	2509.88
2.28	2529.57
2.37	2545.67
2.46	2561.41
2.55	2572.10
2.63	2545.13
2.72	2581.48
2.81	2595.03
2.90	2579.42
2.99	2582.78
3.07	2585.68
3.16	2584.42
3.25	2580.34
3.34	2602.26
3.43	2579.30
3.51	2586.65
3.60	2603.62
3.69	2608.92
3.78	2580.03
3.86	2611.02
3.95	2594.79
4.04	2599.05
4.13	2628.25
4.22	2589.06
4.30	2602.98
4.39	2597.89
4.48	2596.11
4.57	2590.44
4.65	2591.75
4.74	2611.98
4.83	2615.19
4.92	2607.50
5.01	2617.63
5.09	2604.50
5.18	2609.15
5.27	2620.52
5.36	2604.05
5.44	2600.17
5.53	2638.29
5.62	2598.55
5.71	2619.96
5.80	2609.70
5.88	2612.11
5.97	2628.12
6.06	2628.38
6.15	2627.33
6.24	2608.92
6.32	2616.13
6.41	2619.47
6.50	2648.68
6.59	2642.61
6.67	2654.26
6.76	2645.89
6.85	2630.66
6.94	2649.71
7.03	2641.38
7.11	2664.11
7.20	2648.33
7.29	2645.86
7.38	2662.81
7.46	2649.42
7.55	2640.06
7.64	2661.66
7.73	2650.40
7.82	2636.13
7.90	2642.18
7.99	2643.08
8.08	2646.21
8.17	2650.18
8.26	2652.13
8.34	2648.70
8.43	2616.97
8.52	2642.99
8.61	2650.54
8.69	2643.52
8.78	2657.97
8.87	2655.24
8.96	2674.83
9.05	2648.48
9.13	2669.04
9.22	2674.94
9.31	2671.82
9.40	2663.69
9.48	2685.95
9.57	2705.64
9.66	2692.60
9.75	2685.92
9.84	2691.06
9.92	2719.41
10.01	2712.98
10.10	2715.35
10.19	2691.33
10.28	2685.27
10.36	2683.30
10.45	2664.19
10.54	2669.01
10.63	2661.54
10.71	2675.40
10.80	2662.96
10.89	2671.43
10.98	2656.74
11.07	2648.59
11.15	2647.18
11.24	2646.63
11.33	2649.32
11.42	2658.96
11.50	2648.99
11.59	2657.33
11.68	2666.16
11.77	2679.01
11.86	2653.40
11.94	2675.39
12.03	2646.28
12.12	2679.33
12.21	2670.76
12.30	2681.11
12.38	2658.00
12.47	2685.28
12.56	2687.40
12.65	2687.21
12.73	2681.45
12.82	2689.04
12.91	2687.61
13.00	2658.29
13.09	2697.86
13.17	2677.95
13.26	2682.93
13.35	2643.90
13.44	2661.10
13.52	2620.07
13.61	2632.71
13.70	2624.83
13.79	2618.29
13.88	2603.23
13.96	2632.54
14.05	2629.98
14.14	2598.25
14.23	2622.98
14.32	2631.35
14.40	2633.04
14.49	2613.86
14.58	2623.93
14.67	2631.97
14.75	2638.15
14.84	2664.03
14.93	2627.60
15.02	2640.89
15.11	2635.92
15.19	2627.58
15.28	2642.25
15.37	2631.00
15.46	2642.28
15.54	2627.57
15.63	2656.81
15.72	2645.64
15.81	2653.01
15.90	2660.93
15.98	2649.72
16.07	2633.38
16.16	2646.04
16.25	2635.61
16.33	2632.62
16.42	2655.43
16.51	2642.04
16.60	2637.84
16.69	2625.92
16.77	2648.33
16.86	2638.65
16.95	2650.02
17.04	2633.71
17.13	2655.91
17.21	2673.07
17.30	2662.76
17.39	2665.40
17.48	2668.06
17.56	2674.24
17.65	2683.51
17.74	2669.37
17.83	2695.96
17.92	2692.57
18.00	2680.82
18.09	2670.81
18.18	2686.75
18.27	2682.50
18.35	2689.44
18.44	2684.40
18.53	2680.40
18.62	2686.26
18.71	2694.16
18.79	2697.62
18.88	2666.92
18.97	2681.66
19.06	2680.75
19.15	2662.74
19.23	2653.47
19.32	2643.80
19.41	2640.35
19.50	2645.80
19.58	2635.84
19.67	2654.73
19.76	2644.92
19.85	2639.61
19.94	2632.61
20.02	2648.07
20.11	2648.33
20.20	2649.42
20.29	2662.48
20.37	2672.80
20.46	2666.49
20.55	2653.03
20.64	2691.70
20.73	2705.97
20.81	2695.59
20.90	2693.75
20.99	2712.94
21.08	2690.24
21.17	2677.94
21.25	2692.34
21.34	2717.62
21.43	2721.09
21.52	2697.65
21.60	2693.28
21.69	2705.02
21.78	2687.70
21.87	2682.77
21.96	2684.28
22.04	2688.81
22.13	2687.91
22.22	2661.51
22.31	2638.65
22.39	2638.40
22.48	2642.48
22.57	2638.07
22.66	2660.63
22.75	2657.92
22.83	2644.49
22.92	2641.11
23.01	2661.41
23.10	2640.73
23.19	2649.91
23.27	2648.44
23.36	2651.47
23.45	2648.33
23.54	2695.27
23.62	2684.02
23.71	2687.91
23.80	2692.63
23.89	2696.03
23.98	2686.09
24.06	2665.58
24.15	2677.36
24.24	2683.33
24.33	2680.59
24.41	2684.23
24.50	2663.02
24.59	2679.19
24.68	2682.44
24.77	2678.22
24.85	2676.97
24.94	2652.09
25.03	2645.54
25.12	2650.27
25.21	2651.09
25.29	2629.27
25.38	2617.33
25.47	2630.74
25.56	2614.13
25.64	2594.56
25.73	2617.30
25.82	2606.00
25.91	2609.12
26.00	2598.44
26.08	2631.02
26.17	2621.34
26.26	2612.66
26.35	2636.65
26.43	2637.45
26.52	2635.62
26.61	2648.47
26.70	2666.08
26.79	2642.01
26.87	2644.15
26.96	2653.38
27.05	2638.54
27.14	2658.53
27.22	2628.10
27.31	2649.49
27.40	2651.19
27.49	2630.48
27.58	2661.42
27.66	2630.06
27.75	2645.18
27.84	2630.59
27.93	2642.02
28.02	2629.26
28.10	2628.43
28.19	2607.81
28.28	2614.46
28.37	2612.65
28.45	2612.05
28.54	2611.37
28.63	2605.08
28.72	2605.87
28.81	2602.16
28.89	2608.87
28.98	2619.83
29.07	2632.89
29.16	2603.73
29.24	2634.60
29.33	2633.98
29.42	2623.11
29.51	2651.54
29.60	2647.16
29.68	2679.22
29.77	2665.14
29.86	2660.73
29.95	2630.42
30.04	2649.99
30.12	2664.01
30.21	2647.49
30.30	2674.53
30.39	2638.33
30.47	2628.22
30.56	2651.14
30.65	2643.81
30.74	2633.08
30.83	2650.64
30.91	2633.41
31.00	2636.81
31.09	2615.04
31.18	2610.74
31.26	2625.91
31.35	2615.32
31.44	2630.63
31.53	2634.10
31.62	2621.34
31.70	2607.29
31.79	2626.44
31.88	2639.64
31.97	2643.87
32.06	2657.36
32.14	2652.92
32.23	2650.43
32.32	2650.74
32.41	2653.52
32.49	2636.31
32.58	2642.61
32.67	2652.99
32.76	2616.11
32.85	2525.61
32.93	2429.06
33.02	2343.34
33.11	2276.72
33.20	2201.25
33.28	2111.06
33.37	2002.75
33.46	1866.03
33.55	1702.28
33.64	1523.58
33.72	1353.52
33.81	1189.89
33.90	1033.30
33.99	896.69
34.08	779.44
34.16	688.04
34.25	611.47
34.34	544.09
34.43	488.70
34.51	442.86
34.60	406.06
34.69	375.20
34.78	347.44
34.87	322.99
34.95	302.10
35.04	284.51
35.13	269.16
35.22	255.10
35.30	242.00
35.39	230.45
35.48	220.44
35.57	211.32
35.66	202.88
35.74	194.98
35.83	187.41
35.92	180.85
36.01	174.85
36.10	169.23
36.18	163.69
36.27	158.39
36.36	153.73
36.45	149.46
36.53	145.36
36.62	141.35
36.71	137.43
36.80	133.81
36.89	130.56
36.97	127.44
37.06	124.29
37.15	121.24
37.24	118.36
37.32	115.76
37.41	113.26
37.50	110.72
37.59	108.25
37.68	105.88
37.76	103.71
37.85	101.67
37.94	99.66
38.03	97.72
38.11	95.93
38.20	94.30
38.29	92.83
38.38	91.43
38.47	90.09
38.55	88.85
38.64	87.74
38.73	86.72
38.82	85.73
38.91	84.77
38.99	83.83
39.08	82.97
39.17	82.16
39.26	81.36
39.34	80.59
39.43	79.83
39.52	79.11
39.61	78.44
39.70	77.78
39.78	77.08
39.87	76.38
39.96	75.69
40.05	75.02
40.13	74.34
40.22	73.66
40.31	72.99
40.40	72.32
40.49	71.67
40.57	71.05
40.66	70.40
40.75	69.74
40.84	69.12
40.93	68.53
41.01	67.94
41.10	67.32
41.19	66.68
41.28	66.10
41.36	65.53
41.45	64.96
41.54	64.40
41.63	63.82
41.72	63.23
41.80	62.69
41.89	62.18
41.98	61.63
42.07	61.08
42.15	60.53
42.24	60.04
42.33	59.54
42.42	59.03
42.51	58.52
42.59	58.01
