ml	 mAU
0.00	-7.72
0.14	-0.01
0.29	0.02
0.43	0.06
0.58	0.05
0.72	0.06
0.86	0.05
1.01	0.06
1.15	0.05
1.30	0.06
1.44	0.05
1.58	0.04
1.73	0.03
1.87	0.03
2.02	0.02
2.16	0.00
2.30	-0.01
2.45	-0.02
2.59	-0.04
2.74	-0.07
2.88	-0.08
3.02	-0.09
3.17	-0.10
3.31	-0.10
3.45	-0.13
3.60	-0.13
3.74	-0.15
3.89	-0.18
4.03	-0.16
4.17	-0.19
4.32	-0.18
4.46	-0.17
4.61	-0.16
4.75	-0.13
4.89	-0.14
5.04	-0.13
5.18	-0.13
5.33	-0.12
5.47	-0.10
5.61	-0.09
5.76	-0.09
5.90	-0.06
6.05	-0.06
6.19	-0.07
6.33	-0.06
6.48	-0.05
6.62	-0.05
6.77	-0.02
6.91	-0.02
7.05	-0.01
7.20	-0.02
7.34	0.00
7.49	0.01
7.63	0.03
7.77	0.01
7.92	0.02
8.06	0.03
8.21	0.00
8.35	0.00
8.49	-0.01
8.64	-0.03
8.78	-0.04
8.92	-0.06
9.07	-0.08
9.21	-0.09
9.36	-0.12
9.50	-0.13
9.64	-0.15
9.79	-0.17
9.93	-0.19
10.08	-0.21
10.22	-0.21
10.36	-0.24
10.51	-0.26
10.65	-0.26
10.80	-0.26
10.94	-0.25
11.08	-0.25
11.23	-0.26
11.37	-0.27
11.52	-0.28
11.66	-0.26
11.80	-0.28
11.95	-0.28
12.09	-0.26
12.24	-0.27
12.38	-0.26
12.52	-0.27
12.67	-0.28
12.81	-0.27
12.96	-0.24
13.10	-0.23
13.24	-0.22
13.39	-0.21
13.53	-0.19
13.68	-0.20
13.82	-0.19
13.96	-0.17
14.11	-0.16
14.25	-0.17
14.40	-0.16
14.54	-0.16
14.68	-0.17
14.83	-0.19
14.97	-0.19
15.11	-0.20
15.26	-0.23
15.40	-0.23
15.55	-0.24
15.69	-0.24
15.83	-0.26
15.98	-0.28
16.12	-0.29
16.27	-0.31
16.41	-0.31
16.55	-0.30
16.70	-0.29
16.84	-0.29
16.99	-0.27
