Elution volume (ml)	Relative absorbance units (mAU)
0	0.01
0.14	0.04
0.29	0.08
0.43	0.13
0.58	0.17
0.72	0.22
0.86	0.27
1.01	0.34
1.15	0.38
1.3	0.43
1.44	0.5
1.58	0.55
1.73	0.61
1.87	0.68
2.02	0.74
2.16	0.78
2.3	0.83
2.45	0.9
2.59	0.96
2.74	1
2.88	1.05
3.02	1.08
3.17	1.14
3.31	1.19
3.45	1.23
3.6	1.28
3.74	1.33
3.89	1.39
4.03	1.44
4.17	1.47
4.32	1.53
4.46	1.58
4.61	1.65
4.75	1.7
4.89	1.76
5.04	1.83
5.18	1.91
5.33	1.99
5.47	2.08
5.61	2.16
5.76	2.23
5.9	2.31
6.05	2.4
6.19	2.48
6.33	2.56
6.48	2.65
6.62	2.72
6.77	2.8
6.91	2.86
7.05	2.94
7.2	3
7.34	3.1
7.49	3.15
7.63	3.22
7.77	3.29
7.92	3.37
8.06	3.44
8.21	3.49
8.35	3.56
8.49	3.62
8.64	3.67
8.78	3.71
8.92	3.74
9.07	3.8
9.21	3.82
9.36	3.84
9.5	3.86
9.64	3.88
9.79	3.88
9.93	3.91
10.08	3.9
10.22	3.92
10.36	3.92
10.51	3.91
10.65	3.89
10.8	3.9
10.94	3.88
11.08	3.87
11.23	3.86
11.37	3.87
11.52	3.86
11.66	3.88
11.8	3.86
11.95	3.87
12.09	3.86
12.24	3.84
12.38	3.83
12.52	3.83
12.67	3.8
12.81	3.79
12.96	3.77
13.1	3.73
13.24	3.73
13.39	3.69
13.53	3.65
13.68	3.63
13.82	3.59
13.96	3.55
14.11	3.52
14.25	3.48
14.4	3.45
14.54	3.41
14.68	3.37
14.83	3.31
14.97	3.28
15.11	3.25
15.26	3.16
15.4	3.08
15.55	3.03
15.69	2.95
15.83	2.9
15.98	2.82
16.12	2.74
16.27	2.64
16.41	2.59
16.55	2.5
16.7	2.42
16.84	2.32
16.99	2.23
17.13	2.16
17.27	2.07
17.42	1.99
17.56	1.91
17.71	1.86
17.85	1.77
17.99	1.7
18.14	1.64
18.28	1.57
18.43	1.52
18.57	1.44
18.71	1.38
18.86	1.3
19	1.27
19.15	1.2
19.29	1.12
19.43	1.07
19.58	1.01
19.72	0.96
19.87	0.9
20.01	0.86
20.15	0.79
20.3	0.73
20.44	0.68
20.59	0.62
20.73	0.58
20.87	0.54
21.02	0.47
21.16	0.44
21.3	0.36
21.45	0.31
21.59	0.26
21.74	0.19
21.88	0.13
22.02	0.08
22.17	0.03
22.31	-0.04
22.46	-0.11
22.6	-0.15
22.74	-0.22
22.89	-0.26
23.03	-0.33
23.18	-0.37
23.32	-0.41
23.46	-0.44
23.61	-0.45
23.75	-0.49
23.9	-0.48
24.04	-0.5
24.18	-0.54
24.33	-0.56
24.47	-0.57
24.62	-0.58
24.76	-0.6
24.9	-0.58
25.05	-0.6
25.19	-0.6
25.34	-0.62
25.48	-0.62
25.62	-0.62
25.77	-0.61
25.91	-0.62
26.06	-0.6
26.2	-0.58
26.34	-0.58
26.49	-0.54
26.63	-0.51
26.77	-0.48
26.92	-0.44
27.06	-0.4
27.21	-0.37
27.35	-0.35
27.49	-0.34
27.64	-0.31
27.78	-0.28
27.93	-0.25
28.07	-0.23
28.21	-0.22
28.36	-0.2
28.5	-0.22
28.65	-0.22
28.79	-0.27
28.93	-0.31
29.08	-0.35
29.22	-0.43
29.37	-0.48
29.51	-0.53
29.65	-0.58
29.8	-0.65
29.94	-0.68
30.09	-0.72
30.23	-0.78
30.37	-0.81
30.52	-0.86
30.66	-0.9
30.81	-0.93
30.95	-0.95
31.09	-0.96
31.24	-0.99
31.38	-0.99
31.53	-1.01
31.67	-1.02
31.81	-0.99
31.96	-1
32.1	-1
32.25	-0.98
32.39	-0.99
32.53	-0.98
32.68	-0.94
32.82	-0.91
32.96	-0.89
33.11	-0.82
33.25	-0.74
33.4	-0.66
33.54	-0.53
33.68	-0.35
33.83	-0.14
33.97	0.19
34.12	0.64
34.26	1.31
34.4	2.35
34.55	3.77
34.69	5.86
34.84	8.83
34.98	13.23
35.12	19.47
35.27	27.8
35.41	38.9
35.56	53.35
35.7	72.07
35.84	93.52
35.99	115.11
36.13	138.24
36.28	159.39
36.42	178.14
36.56	190.64
36.71	195.39
36.85	192.67
37	183.18
37.14	167.76
37.28	148.83
37.43	129.51
37.57	109.53
37.72	91.92
37.86	77.81
38	67.47
38.15	59.76
38.29	53.72
38.44	49.27
38.58	45.74
38.72	43.01
38.87	40.86
39.01	39.02
39.15	37.59
39.3	36.32
39.44	35.08
39.59	34.41
39.73	33.89
39.87	33.39
40.02	33.01
40.16	32.74
40.31	32.55
40.45	32.36
40.59	32.18
40.74	32.01
40.88	31.8
41.03	31.59
41.17	31.32
41.31	30.98
41.46	30.61
41.6	30.23
41.75	29.76
41.89	29.32
42.03	28.84
42.18	28.28
42.32	27.71
42.47	27.11
42.61	26.47
42.75	25.81
42.9	25.11
43.04	24.43
43.19	23.75
43.33	23.07
43.47	22.35
43.62	21.65
43.76	20.97
43.91	20.31
44.05	19.65
44.19	18.98
44.34	18.35
44.48	17.75
44.62	17.16
44.77	16.59
44.91	16.04
45.06	15.51
45.2	15.01
45.34	14.48
45.49	14
45.63	13.61
45.78	13.26
45.92	12.97
46.06	12.73
46.21	12.58
46.35	12.48
46.5	12.48
46.64	12.51
46.78	12.62
46.93	12.73
47.07	12.86
47.22	13.04
47.36	13.2
47.5	13.41
47.65	13.66
47.79	13.94
47.94	14.26
48.08	14.67
48.22	15.11
48.37	15.58
48.51	16.11
48.66	16.73
48.8	17.34
48.94	18.03
49.09	18.76
49.23	19.59
49.38	20.46
49.52	21.24
49.66	22.03
49.81	22.84
49.95	23.66
50.1	24.49
50.24	25.28
50.38	26.01
50.53	26.69
50.67	27.28
50.81	27.87
50.96	28.37
51.1	28.79
51.25	29.08
51.39	29.33
51.53	29.46
51.68	29.52
51.82	29.5
51.97	29.39
52.11	29.22
52.25	28.96
52.4	28.64
52.54	28.28
52.69	27.89
52.83	27.44
52.97	26.94
53.12	26.42
53.26	25.89
53.41	25.36
53.55	24.8
53.69	24.24
53.84	23.77
53.98	23.3
54.13	22.88
54.27	22.41
54.41	21.92
54.56	21.47
54.7	21.03
54.85	20.61
54.99	20.2
55.13	19.82
55.28	19.46
55.42	19.13
55.57	18.8
55.71	18.5
55.85	18.26
56	18.03
56.14	17.79
56.28	17.58
56.43	17.38
56.57	17.19
56.72	17
56.86	16.86
57	16.69
57.15	16.52
57.29	16.36
57.44	16.16
