Elution volume (ml)	Relative absorbance units (mAU)
57.58	16.03
57.72	15.89
57.87	15.72
58.01	15.57
58.16	15.45
58.3	15.33
58.44	15.22
58.59	15.13
58.73	15.05
58.88	15.02
59.02	15.02
59.16	15.03
59.31	15.07
59.45	15.18
59.6	15.3
59.74	15.49
59.88	15.69
60.03	15.93
60.17	16.2
60.32	16.47
60.46	16.78
60.6	17.11
60.75	17.47
60.89	17.85
61.04	18.23
61.18	18.6
61.32	18.95
61.47	19.3
61.61	19.63
61.76	19.89
61.9	20.16
62.04	20.37
62.19	20.52
62.33	20.64
62.47	20.68
62.62	20.69
62.76	20.65
62.91	20.59
63.05	20.45
63.19	20.29
63.34	20.07
63.48	19.83
63.63	19.56
63.77	19.21
63.91	18.9
64.06	18.55
64.2	18.16
64.35	17.77
64.49	17.36
64.63	16.96
64.78	16.56
64.92	16.18
65.07	15.83
65.21	15.45
65.35	15.1
65.5	14.78
65.64	14.47
65.79	14.2
65.93	13.93
66.07	13.67
66.22	13.44
66.36	13.25
66.51	13.12
66.65	12.98
66.79	12.85
66.94	12.74
67.08	12.61
67.23	12.49
67.37	12.39
67.51	12.3
67.66	12.21
67.8	12.14
67.95	12.05
68.09	11.99
68.23	11.9
68.38	11.85
68.52	11.79
68.66	11.74
68.81	11.69
68.95	11.65
69.1	11.6
69.24	11.57
69.38	11.54
69.53	11.51
69.67	11.49
69.82	11.49
69.96	11.47
70.1	11.47
70.25	11.51
70.39	11.52
70.54	11.49
70.68	11.52
70.82	11.54
70.97	11.57
71.11	11.58
71.26	11.59
71.4	11.6
71.54	11.59
71.69	11.6
71.83	11.59
71.98	11.55
72.12	11.51
72.26	11.45
72.41	11.38
72.55	11.28
72.7	11.22
72.84	11.11
72.98	11.01
73.13	10.88
73.27	10.71
73.42	10.56
73.56	10.4
73.7	10.23
73.85	10.04
73.99	9.85
74.13	9.65
74.28	9.47
74.42	9.28
74.57	9.08
74.71	8.87
74.85	8.67
75	8.49
75.14	8.3
75.29	8.12
75.43	7.93
75.57	7.77
75.72	7.63
75.86	7.47
76.01	7.32
76.15	7.19
76.29	7.07
76.44	6.93
76.58	6.83
76.73	6.76
76.87	6.69
77.01	6.64
77.16	6.61
77.3	6.58
77.45	6.57
77.59	6.58
77.73	6.59
77.88	6.61
78.02	6.67
78.17	6.74
78.31	6.81
78.45	6.9
78.6	6.97
78.74	7.1
78.89	7.21
79.03	7.34
79.17	7.45
79.32	7.58
79.46	7.7
79.61	7.84
79.75	7.95
79.89	8.05
80.04	8.18
80.18	8.27
80.32	8.37
80.47	8.43
80.61	8.48
80.76	8.54
80.9	8.58
81.04	8.59
81.19	8.61
81.33	8.61
81.48	8.61
81.62	8.57
81.76	8.54
81.91	8.5
82.05	8.42
82.2	8.34
82.34	8.24
82.48	8.13
82.63	7.99
82.77	7.85
82.92	7.7
83.06	7.55
83.2	7.39
83.35	7.22
83.49	7.05
83.64	6.86
83.78	6.68
83.92	6.49
84.07	6.3
84.21	6.1
84.36	5.93
84.5	5.74
84.64	5.56
84.79	5.43
84.93	5.29
85.08	5.17
85.22	5.05
85.36	4.89
85.51	4.75
85.65	4.62
85.8	4.48
85.94	4.36
86.08	4.23
86.23	4.11
86.37	4.01
86.51	3.88
86.66	3.76
86.8	3.68
86.95	3.57
87.09	3.47
87.23	3.37
87.38	3.28
87.52	3.19
87.67	3.12
87.81	3.03
87.95	2.95
88.1	2.87
88.24	2.79
88.39	2.72
88.53	2.64
88.67	2.56
88.82	2.49
88.96	2.39
89.11	2.33
89.25	2.27
89.39	2.18
89.54	2.1
89.68	2.03
89.83	1.97
89.97	1.91
90.11	1.83
90.26	1.77
90.4	1.7
90.55	1.67
90.69	1.6
90.83	1.55
90.98	1.51
91.12	1.49
91.27	1.47
91.41	1.48
91.55	1.45
91.7	1.47
91.84	1.45
91.98	1.45
92.13	1.44
92.27	1.45
92.42	1.46
92.56	1.46
92.7	1.49
92.85	1.49
92.99	1.51
93.14	1.51
93.28	1.53
93.42	1.53
93.57	1.55
93.71	1.57
93.86	1.59
94	1.59
94.14	1.62
94.29	1.65
94.43	1.65
94.58	1.67
94.72	1.68
94.86	1.67
95.01	1.68
95.15	1.68
95.3	1.68
95.44	1.68
95.58	1.65
95.73	1.65
95.87	1.62
96.02	1.6
96.16	1.57
96.3	1.51
96.45	1.51
96.59	1.47
96.74	1.45
96.88	1.39
97.02	1.35
97.17	1.35
97.31	1.28
97.46	1.28
97.6	1.25
97.74	1.22
97.89	1.21
98.03	1.21
98.17	1.19
98.32	1.18
98.46	1.15
98.61	1.14
98.75	1.13
98.89	1.11
99.04	1.08
99.18	1.07
99.33	1.04
99.47	1.01
99.61	0.98
99.76	0.95
99.9	0.9
100.05	0.87
100.19	0.83
100.33	0.78
100.48	0.76
100.62	0.72
100.77	0.68
100.91	0.61
101.05	0.59
101.2	0.56
101.34	0.53
101.49	0.5
101.63	0.49
101.77	0.46
101.92	0.42
102.06	0.41
102.21	0.4
102.35	0.4
102.49	0.39
102.64	0.4
102.78	0.41
102.93	0.43
103.07	0.43
103.21	0.46
103.36	0.5
103.5	0.54
103.64	0.59
103.79	0.62
103.93	0.68
104.08	0.72
104.22	0.79
104.36	0.84
104.51	0.9
104.65	0.95
104.8	1.03
104.94	1.08
105.08	1.12
105.23	1.14
105.37	1.18
105.52	1.17
105.66	1.18
105.8	1.17
105.95	1.16
106.09	1.12
106.24	1.11
106.38	1.08
106.52	1.05
106.67	0.99
106.81	0.95
106.96	0.91
107.1	0.87
107.24	0.82
107.39	0.76
107.53	0.72
107.68	0.66
107.82	0.59
107.96	0.54
108.11	0.5
108.25	0.42
108.4	0.37
108.54	0.32
108.68	0.24
108.83	0.2
108.97	0.14
109.12	0.09
109.26	0.04
109.4	-0.01
109.55	-0.05
109.69	-0.08
109.83	-0.11
109.98	-0.15
110.12	-0.16
110.27	-0.17
110.41	-0.19
110.55	-0.19
110.7	-0.22
110.84	-0.22
110.99	-0.22
111.13	-0.24
111.27	-0.24
111.42	-0.22
111.56	-0.23
111.71	-0.24
111.85	-0.26
111.99	-0.25
112.14	-0.23
112.28	-0.21
112.43	-0.2
112.57	-0.19
112.71	-0.16
112.86	-0.12
113	-0.1
113.15	-0.06
113.29	0.01
113.43	0.07
113.58	0.13
113.72	0.22
113.87	0.32
114.01	0.45
114.15	0.59
114.3	0.76
114.44	0.95
114.59	1.16
114.73	1.38
114.87	1.59
115.02	1.81
115.16	2.06
115.31	2.31
115.45	2.52
115.59	2.74
115.74	2.94
115.88	3.16
116.02	3.36
116.17	3.55
116.31	3.73
116.46	3.89
116.6	4.05
116.74	4.24
116.89	4.43
117.03	4.64
117.18	4.78
117.32	4.83
117.46	4.82
117.61	4.77
117.75	4.65
117.9	4.49
118.04	4.32
118.18	4.11
118.33	3.87
118.47	3.66
118.62	3.43
118.76	3.22
118.9	3.03
119.05	2.86
119.19	2.7
119.34	2.57
119.48	2.4
119.62	2.22
119.77	2
119.91	1.82
120.06	1.62
120.2	1.42
120.34	1.22
120.49	1.01
120.63	0.81
120.78	0.61
120.92	0.41
121.06	0.23
121.21	0.04
121.35	-0.14
121.49	-0.31
121.64	-0.47
121.78	-0.63
121.93	-0.77
122.07	-0.87
122.21	-0.96
122.36	-1.05
122.5	-1.12
122.65	-1.17
122.79	-1.2
122.93	-1.22
123.08	-1.26
123.22	-1.28
123.37	-1.33
123.51	-1.33
123.65	-1.35
123.8	-1.36
123.94	-1.39
124.09	-1.41
