ml	 mAU
0.00	-0.01
0.14	0.02
0.29	0.04
0.43	0.18
0.58	0.15
0.72	0.16
0.86	0.15
1.01	0.15
1.15	0.19
1.30	0.20
1.44	0.22
1.58	0.25
1.73	0.26
1.87	0.30
2.02	0.33
2.16	0.34
2.30	0.36
2.45	0.38
2.59	0.43
2.74	0.47
2.88	0.54
3.02	0.59
3.17	0.63
3.31	0.67
3.45	0.73
3.60	0.79
3.74	0.84
3.89	0.90
4.03	0.96
4.17	1.01
4.32	1.08
4.46	1.11
4.61	1.18
4.75	1.24
4.89	1.27
5.04	1.35
5.18	1.40
5.33	1.44
5.47	1.52
5.61	1.56
5.76	1.63
5.90	1.68
6.05	1.74
6.19	1.80
6.33	1.85
6.48	1.90
6.62	1.94
6.77	1.98
6.91	2.02
7.05	2.06
7.20	2.08
7.34	2.12
7.49	2.13
7.63	2.16
7.77	2.20
7.92	2.20
8.06	2.23
8.21	2.25
8.35	2.27
8.49	2.29
8.64	2.29
8.78	2.30
8.92	2.31
9.07	2.34
9.21	2.33
9.36	2.35
9.50	2.37
9.64	2.40
9.79	2.43
9.93	2.45
10.08	2.47
10.22	2.48
10.36	2.50
10.51	2.52
10.65	2.55
10.80	2.57
10.94	2.60
11.08	2.64
11.23	2.64
11.37	2.65
11.52	2.66
11.66	2.69
11.80	2.69
11.95	2.70
12.09	2.71
12.24	2.73
12.38	2.74
12.52	2.74
12.67	2.75
12.81	2.75
12.96	2.77
13.10	2.74
13.24	2.74
13.39	2.74
13.53	2.71
13.68	2.68
13.82	2.67
13.96	2.64
14.11	2.60
14.25	2.57
14.40	2.52
14.54	2.49
14.68	2.46
14.83	2.42
14.97	2.37
15.11	2.32
15.26	2.27
15.40	2.23
15.55	2.18
15.69	2.13
15.83	2.08
15.98	2.03
16.12	1.97
16.27	1.94
16.41	1.92
16.55	1.88
16.70	1.82
16.84	1.79
16.99	1.76
17.13	1.72
17.27	1.69
17.42	1.66
17.56	1.63
17.71	1.60
17.85	1.58
17.99	1.54
18.14	1.49
18.28	1.48
18.43	1.43
18.57	1.41
18.71	1.39
18.86	1.34
19.00	1.31
19.15	1.28
19.29	1.25
19.43	1.23
19.58	1.20
19.72	1.17
19.87	1.14
20.01	1.11
20.15	1.06
20.30	1.04
20.44	0.97
20.59	0.93
20.73	0.90
20.87	0.84
21.02	0.79
21.16	0.75
21.30	0.71
21.45	0.67
21.59	0.62
21.74	0.57
21.88	0.52
22.02	0.48
22.17	0.47
22.31	0.41
22.46	0.42
22.60	0.39
22.74	0.36
22.89	0.36
23.03	0.35
23.18	0.35
23.32	0.33
23.46	0.33
23.61	0.34
23.75	0.34
23.90	0.35
24.04	0.36
24.18	0.39
24.33	0.41
24.47	0.44
24.62	0.47
24.76	0.51
24.90	0.55
25.05	0.59
25.19	0.64
25.34	0.69
25.48	0.77
25.62	0.87
25.77	0.98
25.91	1.15
26.06	1.35
26.20	1.55
26.34	1.78
26.49	2.05
26.63	2.29
26.77	2.56
26.92	2.81
27.06	3.08
27.21	3.31
27.35	3.52
27.49	3.75
27.64	3.91
27.78	4.06
27.93	4.15
28.07	4.17
28.21	4.16
28.36	4.05
28.50	3.93
28.65	3.76
28.79	3.63
28.93	3.52
29.08	3.49
29.22	3.51
29.37	3.58
29.51	3.68
29.65	3.72
29.80	3.67
29.94	3.48
30.09	3.10
30.23	2.59
30.37	2.09
30.52	1.56
30.66	1.02
30.81	0.57
30.95	0.21
31.09	-0.09
31.24	-0.32
31.38	-0.51
31.53	-0.67
31.67	-0.79
31.81	-0.89
31.96	-0.98
32.10	-1.06
32.25	-1.13
32.39	-1.19
32.53	-1.26
32.68	-1.27
32.82	-1.31
32.96	-1.38
33.11	-1.39
33.25	-1.41
33.40	-1.42
33.54	-1.40
33.68	-1.38
33.83	-1.34
33.97	-1.25
34.12	-1.12
34.26	-0.82
34.40	-0.30
34.55	0.59
34.69	2.04
34.84	4.15
34.98	7.41
35.12	12.30
35.27	19.56
35.41	30.36
35.56	45.57
35.70	68.00
35.84	97.84
35.99	133.00
36.13	174.94
36.28	217.00
36.42	257.81
36.56	291.14
36.71	309.90
36.85	315.51
37.00	308.11
37.14	289.46
37.28	262.65
37.43	232.98
37.57	201.65
37.72	173.54
37.86	148.57
38.00	128.68
38.15	113.83
38.29	101.32
38.44	91.00
38.58	83.57
38.72	77.33
38.87	71.83
39.01	67.25
39.15	62.98
39.30	59.49
39.44	56.44
39.59	53.91
39.73	51.64
39.87	49.79
40.02	48.19
40.16	46.82
40.31	45.70
40.45	44.68
40.59	43.83
40.74	43.03
40.88	42.32
41.03	41.66
41.17	41.00
41.31	40.37
41.46	39.80
41.60	39.22
41.75	38.66
41.89	37.99
42.03	37.28
42.18	36.51
42.32	35.74
42.47	34.95
42.61	34.13
42.75	33.31
42.90	32.43
43.04	31.57
43.19	30.64
43.33	29.73
43.47	28.94
43.62	28.13
43.76	27.32
43.91	26.53
44.05	25.78
44.19	25.03
44.34	24.33
44.48	23.67
44.62	23.07
44.77	22.54
44.91	22.05
45.06	21.63
45.20	21.44
45.34	21.35
45.49	21.39
45.63	21.57
45.78	21.82
45.92	22.14
46.06	22.55
46.21	23.01
46.35	23.53
46.50	24.19
46.64	24.87
46.78	25.60
46.93	26.42
47.07	27.27
47.22	28.17
47.36	29.09
47.50	29.97
47.65	30.81
47.79	31.65
47.94	32.52
48.08	33.37
48.22	34.25
48.37	35.09
48.51	35.94
48.66	36.82
48.80	37.66
48.94	38.46
49.09	39.29
49.23	40.08
49.38	40.86
49.52	41.61
49.66	42.30
49.81	42.93
49.95	43.51
50.10	44.01
50.24	44.41
50.38	44.71
50.53	44.96
50.67	45.04
50.81	45.07
50.96	45.01
51.10	44.85
51.25	44.60
51.39	44.26
51.53	43.72
51.68	43.19
51.82	42.58
51.97	41.90
52.11	41.16
52.25	40.34
52.40	39.52
52.54	38.63
52.69	37.75
52.83	36.81
52.97	35.84
53.12	34.92
53.26	33.98
53.41	33.08
53.55	32.21
53.69	31.43
53.84	30.67
53.98	29.90
54.13	29.11
54.27	28.30
54.41	27.49
54.56	26.75
54.70	26.04
54.85	25.37
54.99	24.73
55.13	24.14
55.28	23.53
55.42	22.91
55.57	22.47
55.71	22.05
55.85	21.62
56.00	21.22
56.14	20.84
56.28	20.50
56.43	20.16
56.57	19.85
56.72	19.57
56.86	19.28
57.00	19.03
57.15	18.73
57.29	18.49
57.44	18.28
57.58	18.04
57.72	17.87
57.87	17.64
58.01	17.47
58.16	17.32
58.30	17.17
58.44	17.09
58.59	17.00
58.73	16.97
58.88	16.96
59.02	17.04
59.16	17.13
59.31	17.29
59.45	17.50
59.60	17.76
59.74	18.06
59.88	18.42
60.03	18.80
60.17	19.25
60.32	19.70
60.46	20.21
60.60	20.72
60.75	21.27
60.89	21.86
61.04	22.41
61.18	22.97
61.32	23.49
61.47	23.99
61.61	24.45
61.76	24.88
61.90	25.25
62.04	25.52
62.19	25.72
62.33	25.86
62.47	25.92
62.62	25.90
62.76	25.84
62.91	25.68
63.05	25.46
63.19	25.21
63.34	24.85
63.48	24.48
63.63	24.02
63.77	23.54
63.91	23.10
64.06	22.56
64.20	22.01
64.35	21.48
64.49	20.91
64.63	20.38
64.78	19.85
64.92	19.31
65.07	18.81
65.21	18.34
65.35	17.90
65.50	17.48
65.64	17.07
65.79	16.74
65.93	16.39
66.07	16.07
66.22	15.78
66.36	15.51
66.51	15.29
66.65	15.11
66.79	14.95
66.94	14.82
67.08	14.66
67.23	14.48
67.37	14.33
67.51	14.20
67.66	14.04
67.80	13.92
67.95	13.81
68.09	13.69
68.23	13.57
68.38	13.44
68.52	13.32
68.66	13.22
68.81	13.16
68.95	13.07
69.10	13.00
