ml	 mAU
69.24	12.92
69.38	12.86
69.53	12.82
69.67	12.79
69.82	12.76
69.96	12.76
70.10	12.74
70.25	12.71
70.39	12.75
70.54	12.77
70.68	12.76
70.82	12.77
70.97	12.74
71.11	12.74
71.26	12.71
71.40	12.69
71.54	12.66
71.69	12.58
71.83	12.52
71.98	12.40
72.12	12.30
72.26	12.17
72.41	12.02
72.55	11.86
72.70	11.65
72.84	11.49
72.98	11.31
73.13	11.10
73.27	10.88
73.42	10.67
73.56	10.42
73.70	10.17
73.85	9.91
73.99	9.65
74.13	9.41
74.28	9.16
74.42	8.89
74.57	8.65
74.71	8.42
74.85	8.17
75.00	7.92
75.14	7.71
75.29	7.49
75.43	7.28
75.57	7.09
75.72	6.89
75.86	6.74
76.01	6.58
76.15	6.44
76.29	6.31
76.44	6.19
76.58	6.07
76.73	5.97
76.87	5.92
77.01	5.85
77.16	5.82
77.30	5.79
77.45	5.77
77.59	5.80
77.73	5.81
77.88	5.85
78.02	5.90
78.17	5.96
78.31	6.03
78.45	6.12
78.60	6.20
78.74	6.31
78.89	6.44
79.03	6.55
79.17	6.68
79.32	6.80
79.46	6.91
79.61	7.03
79.75	7.16
79.89	7.28
80.04	7.38
80.18	7.49
80.32	7.58
80.47	7.67
80.61	7.73
80.76	7.79
80.90	7.85
81.04	7.88
81.19	7.90
81.33	7.90
81.48	7.89
81.62	7.88
81.76	7.85
81.91	7.80
82.05	7.74
82.20	7.67
82.34	7.57
82.48	7.47
82.63	7.37
82.77	7.24
82.92	7.11
83.06	6.95
83.20	6.78
83.35	6.63
83.49	6.46
83.64	6.27
83.78	6.07
83.92	5.87
84.07	5.70
84.21	5.51
84.36	5.29
84.50	5.10
84.64	4.88
84.79	4.71
84.93	4.53
85.08	4.33
85.22	4.16
85.36	4.03
85.51	3.87
85.65	3.74
85.80	3.62
85.94	3.46
86.08	3.32
86.23	3.21
86.37	3.08
86.51	2.95
86.66	2.83
86.80	2.74
86.95	2.62
87.09	2.48
87.23	2.38
87.38	2.28
87.52	2.20
87.67	2.12
87.81	2.00
87.95	1.93
88.10	1.81
88.24	1.75
88.39	1.67
88.53	1.60
88.67	1.53
88.82	1.45
88.96	1.38
89.11	1.32
89.25	1.27
89.39	1.18
89.54	1.13
89.68	1.06
89.83	0.99
89.97	0.93
90.11	0.89
90.26	0.81
90.40	0.76
90.55	0.72
90.69	0.68
90.83	0.63
90.98	0.61
91.12	0.57
91.27	0.55
91.41	0.51
91.55	0.51
91.70	0.49
91.84	0.49
91.98	0.49
92.13	0.50
92.27	0.51
92.42	0.54
92.56	0.53
92.70	0.58
92.85	0.59
92.99	0.60
93.14	0.63
93.28	0.66
93.42	0.69
93.57	0.72
93.71	0.73
93.86	0.74
94.00	0.74
94.14	0.74
94.29	0.77
94.43	0.77
94.58	0.78
94.72	0.80
94.86	0.80
95.01	0.80
95.15	0.82
95.30	0.79
95.44	0.77
95.58	0.77
95.73	0.75
95.87	0.71
96.02	0.69
96.16	0.66
96.30	0.61
96.45	0.58
96.59	0.52
96.74	0.48
96.88	0.44
97.02	0.37
97.17	0.32
97.31	0.27
97.46	0.21
97.60	0.18
97.74	0.12
97.89	0.09
98.03	0.05
98.17	0.01
98.32	-0.04
98.46	-0.09
98.61	-0.13
98.75	-0.17
98.89	-0.20
99.04	-0.25
99.18	-0.28
99.33	-0.33
99.47	-0.36
99.61	-0.39
99.76	-0.44
99.90	-0.47
100.05	-0.52
100.19	-0.56
100.33	-0.60
100.48	-0.66
100.62	-0.68
100.77	-0.77
100.91	-0.79
101.05	-0.83
101.20	-0.86
101.34	-0.90
101.49	-0.93
101.63	-0.98
101.77	-1.01
101.92	-1.02
102.06	-1.05
102.21	-1.07
102.35	-1.08
102.49	-1.11
102.64	-1.12
102.78	-1.15
102.93	-1.15
103.07	-1.18
103.21	-1.18
103.36	-1.19
103.50	-1.20
103.64	-1.19
103.79	-1.17
103.93	-1.17
104.08	-1.18
104.22	-1.15
104.36	-1.15
104.51	-1.14
104.65	-1.12
104.80	-1.12
104.94	-1.11
105.08	-1.11
105.23	-1.10
105.37	-1.11
105.52	-1.11
105.66	-1.12
105.80	-1.13
105.95	-1.14
106.09	-1.16
106.24	-1.16
106.38	-1.18
106.52	-1.19
106.67	-1.20
106.81	-1.23
106.96	-1.25
107.10	-1.26
107.24	-1.28
107.39	-1.29
107.53	-1.31
107.68	-1.33
107.82	-1.36
107.96	-1.37
108.11	-1.40
108.25	-1.40
108.40	-1.41
108.54	-1.45
108.68	-1.46
108.83	-1.47
108.97	-1.49
109.12	-1.49
109.26	-1.49
109.40	-1.51
109.55	-1.50
109.69	-1.49
109.83	-1.52
109.98	-1.51
110.12	-1.50
110.27	-1.50
110.41	-1.48
110.55	-1.48
110.70	-1.47
110.84	-1.44
110.99	-1.44
111.13	-1.42
111.27	-1.39
111.42	-1.38
111.56	-1.37
111.71	-1.34
111.85	-1.33
111.99	-1.31
112.14	-1.30
112.28	-1.30
112.43	-1.28
112.57	-1.26
112.71	-1.25
112.86	-1.23
113.00	-1.21
113.15	-1.17
113.29	-1.15
113.43	-1.13
113.58	-1.09
113.72	-1.04
113.87	-1.01
114.01	-0.94
114.15	-0.89
114.30	-0.81
114.44	-0.75
114.59	-0.66
114.73	-0.53
114.87	-0.43
115.02	-0.29
115.16	-0.11
115.31	0.07
115.45	0.25
115.59	0.45
115.74	0.66
115.88	0.87
116.02	1.08
116.17	1.29
116.31	1.49
116.46	1.71
116.60	1.91
116.74	2.10
116.89	2.30
117.03	2.46
117.18	2.62
117.32	2.74
117.46	2.86
117.61	2.97
117.75	3.08
117.90	3.19
118.04	3.33
118.18	3.51
118.33	3.69
118.47	3.84
118.62	3.84
118.76	3.76
118.90	3.65
119.05	3.47
119.19	3.30
119.34	3.12
119.48	2.93
119.62	2.75
119.77	2.57
119.91	2.39
120.06	2.24
120.20	2.10
120.34	1.96
120.49	1.76
120.63	1.51
120.78	1.23
120.92	0.96
121.06	0.69
121.21	0.39
121.35	0.15
121.49	-0.12
121.64	-0.36
121.78	-0.59
121.93	-0.82
122.07	-1.07
122.21	-1.27
122.36	-1.49
122.50	-1.71
122.65	-1.88
122.79	-2.03
122.93	-2.16
123.08	-2.25
123.22	-2.34
123.37	-2.44
123.51	-2.48
123.65	-2.55
123.80	-2.62
123.94	-2.65
124.09	-2.70
