Activity-based annotation	LeidenCluster
dNK	LC00
TK2	LC00
TK2	LC00
dNK	LC02
dGK	LC03
dAK	LC03
dAK	LC03
dAK	LC03
dAK	LC03
dNK	LC03
dNK	LC03
dCK2	LC04
dCK	LC04
dCK2	LC04
dCK	LC04
dCK	LC04
dGK	LC05
dGK	LC05
dAK	LC06
dGK	LC06
TK1	LC07
TK1	LC07
TK1	LC07
TK1	LC07
TK1	LC07
TK1	LC07
TK	LC07
TK1	LC07
TK1b	LC07
TK1a	LC07
TK1	LC07
TK1	LC07
TK1	LC07
TK1	LC07
