ml	 mAU
0.00	0.00
0.10	0.00
0.19	0.00
0.29	-0.01
0.38	-0.02
0.48	-0.02
0.58	0.00
0.67	-0.02
0.77	0.01
0.87	0.05
0.96	0.07
1.06	0.05
1.15	0.00
1.25	-0.04
1.35	-0.09
1.44	20.73
1.54	160.09
1.64	1084.97
1.73	2618.62
1.83	2824.37
1.92	2852.88
2.02	2859.59
2.12	2877.53
2.21	2948.69
2.31	2961.67
2.41	2958.55
2.50	2963.19
2.60	2997.47
2.69	2972.49
2.79	2969.84
2.89	3013.56
2.98	3005.01
3.08	2999.88
3.18	3023.22
3.27	3046.76
3.37	3039.73
3.46	3023.66
3.56	3029.89
3.66	3051.92
3.75	3024.41
3.85	3036.72
3.95	3030.06
4.04	3022.69
4.14	3015.04
4.23	3030.34
4.33	3054.76
4.43	3038.98
4.52	3012.35
4.62	3037.25
4.71	3026.76
4.81	3021.92
4.91	2988.66
5.00	3008.90
5.10	3012.82
5.20	3023.10
5.29	3047.79
5.39	3041.22
5.48	3026.01
5.58	3012.27
5.68	3038.66
5.77	3035.78
5.87	3026.64
5.97	3007.77
6.06	3008.25
6.16	3039.01
6.25	3018.43
6.35	3008.77
6.45	3017.24
6.54	3031.93
6.64	2989.90
6.74	3015.01
6.83	3017.29
6.93	3011.80
7.02	2987.31
7.12	3014.58
7.22	3004.47
7.31	3009.28
7.41	2993.94
7.51	3012.66
7.60	3005.91
7.70	3012.99
7.79	3037.16
7.89	3012.81
7.99	3012.84
8.08	2995.13
8.18	3035.71
8.27	3018.12
8.37	3022.48
8.47	3024.95
8.56	3007.57
8.66	3000.99
8.76	3033.51
8.85	3028.81
8.95	3033.49
9.04	3049.95
9.14	3047.84
9.24	3023.41
9.33	3053.50
9.43	3047.66
9.53	3046.13
9.62	3053.27
9.72	3049.34
9.81	3051.46
9.91	3074.68
10.01	3056.19
10.10	3071.53
10.20	3050.70
10.30	3056.95
10.39	3075.85
10.49	3070.53
10.58	3094.34
10.68	3064.54
10.78	3075.64
10.87	3085.98
10.97	3078.41
11.07	3069.14
11.16	3077.80
11.26	3098.12
11.35	3071.22
11.45	3092.28
11.55	3060.68
11.64	3085.67
11.74	3105.68
11.84	3065.46
11.93	3077.86
12.03	3082.81
12.12	3082.91
12.22	3051.39
12.32	3050.14
12.41	3058.15
12.51	3074.72
12.60	3043.20
12.70	3074.70
12.80	3065.16
12.89	3065.23
12.99	3048.53
13.09	3051.21
13.18	3049.19
13.28	3057.19
13.37	3063.58
13.47	3058.67
13.57	3017.64
13.66	3017.67
13.76	3046.60
13.86	3021.52
13.95	3039.42
14.05	3035.84
14.14	3026.09
14.24	3022.59
14.34	3045.01
14.43	3046.05
14.53	3061.68
14.63	3046.00
14.72	3073.17
14.82	3067.82
14.91	3085.92
15.01	3062.32
15.11	3071.33
15.20	3064.71
15.30	3077.72
15.40	3100.01
15.49	3081.87
15.59	3080.43
15.68	3092.21
15.78	3093.52
15.88	3084.45
15.97	3093.84
16.07	3079.05
16.16	3051.89
16.26	3084.47
16.36	3063.73
16.45	3084.11
16.55	3054.12
16.65	3070.91
16.74	3105.64
16.84	3098.85
16.93	3090.27
17.03	3090.62
17.13	3091.13
17.22	3128.75
17.32	3082.34
17.42	3097.88
17.51	3065.00
17.61	3100.54
17.70	3118.37
17.80	3061.23
17.90	3122.88
17.99	3118.01
18.09	3072.42
18.19	3079.16
18.28	3109.65
18.38	3084.39
18.47	3117.64
18.57	3110.84
18.67	3088.35
18.76	3134.22
18.86	3125.29
18.96	3130.51
19.05	3114.93
19.15	3122.91
19.24	3108.39
19.34	3115.31
19.44	3140.58
19.53	3139.15
19.63	3114.93
19.73	3137.19
19.82	3134.59
19.92	3106.65
20.01	3110.72
20.11	3134.73
20.21	3127.67
20.30	3131.59
20.40	3148.99
20.49	3173.42
20.59	3123.35
20.69	3132.07
20.78	3137.15
20.88	3132.58
20.98	3137.92
21.07	3123.85
21.17	3119.58
21.26	3132.42
21.36	3153.37
21.46	3127.91
21.55	3110.65
21.65	3112.99
21.75	3121.36
21.84	3083.56
21.94	3100.43
22.03	3094.78
22.13	3097.19
22.23	3068.39
22.32	3136.51
22.42	3112.54
22.52	3093.51
22.61	3085.95
22.71	3088.86
22.80	3117.10
22.90	3107.90
23.00	3107.56
23.09	3096.72
23.19	3087.33
23.29	3098.18
23.38	3078.29
23.48	3072.44
23.57	3079.93
23.67	3071.98
23.77	3052.67
23.86	3099.40
23.96	3084.08
24.06	3070.24
24.15	3055.78
24.25	3069.57
24.34	3089.94
24.44	3034.10
24.54	3043.25
24.63	3054.98
24.73	3044.70
24.82	3072.34
24.92	3065.98
25.02	3033.15
25.11	3038.79
25.21	3053.38
25.31	3051.56
25.40	3031.39
25.50	3057.53
25.59	3038.18
25.69	3105.66
25.79	3074.21
25.88	3068.09
25.98	3064.68
26.08	3042.97
26.17	3094.78
26.27	3106.84
26.36	3072.37
26.46	3089.81
26.56	3081.55
