ml	 mAU
0.00	0.00
0.13	-0.01
0.27	-0.01
0.40	-0.01
0.53	0.08
0.67	0.04
0.80	0.00
0.93	-0.04
1.07	-0.09
1.20	-0.14
1.33	-0.17
1.47	-0.24
1.60	-0.28
1.73	-0.34
1.87	-0.40
2.00	-0.47
2.13	-0.52
2.27	-0.59
2.40	-0.65
2.53	-0.71
2.67	-0.79
2.80	-0.84
2.93	-0.90
3.07	-0.94
3.20	-0.99
3.33	-1.04
3.46	-1.08
3.60	-1.11
3.73	-1.16
3.86	-1.18
4.00	-1.20
4.13	-1.23
4.26	-1.23
4.40	-1.25
4.53	-1.27
4.66	-1.27
4.80	-1.27
4.93	-1.28
5.06	-1.32
5.20	-1.29
5.33	-1.30
5.46	-1.31
5.60	-1.33
5.73	-1.32
5.86	-1.33
6.00	-1.34
6.13	-1.35
6.26	-1.34
6.40	-1.34
6.53	-1.36
6.66	-1.36
6.80	-1.35
6.93	-1.38
7.06	-1.37
7.20	-1.38
7.33	-1.38
7.46	-1.40
7.60	-1.42
7.73	-1.40
7.86	-1.42
8.00	-1.43
8.13	-1.44
8.26	-1.45
8.40	-1.45
8.53	-1.45
8.66	-1.45
8.80	-1.46
8.93	-1.47
9.06	-1.48
9.20	-1.46
9.33	-1.47
9.46	-1.48
9.60	-1.50
9.73	-1.49
9.86	-1.51
10.00	-1.49
10.13	-1.50
10.26	-1.51
10.39	-1.52
10.53	-1.53
10.66	-1.55
10.79	-1.55
10.93	-1.57
11.06	-1.57
11.19	-1.59
11.33	-1.60
11.46	-1.63
11.59	-1.66
11.73	-1.67
11.86	-1.68
11.99	-1.71
12.13	-1.73
12.26	-1.74
12.39	-1.76
12.53	-1.79
12.66	-1.79
12.79	-1.83
12.93	-1.85
13.06	-1.87
13.19	-1.90
13.33	-1.91
13.46	-1.93
13.59	-1.94
13.73	-1.97
13.86	-1.99
13.99	-2.02
14.13	-2.04
14.26	-2.03
14.39	-2.06
14.53	-2.05
14.66	-2.07
14.79	-2.07
14.93	-2.10
15.06	-2.08
15.19	-2.09
15.33	-2.09
15.46	-2.08
15.59	-2.08
15.73	-2.08
15.86	-2.08
15.99	-2.07
16.13	-2.07
16.26	-2.06
16.39	-2.07
16.53	-2.06
16.66	-2.04
16.79	-2.07
16.93	-2.06
17.06	-2.06
17.19	-2.05
17.32	-2.05
17.46	-2.06
17.59	-2.05
17.72	-2.04
17.86	-2.05
17.99	-2.05
18.12	-2.05
18.26	-2.05
18.39	-2.06
18.52	-2.05
18.66	-2.04
18.79	-2.06
18.92	-2.04
19.06	-2.05
19.19	-2.03
19.32	-2.03
19.46	-2.03
19.59	-2.02
19.72	-2.03
19.86	-2.03
19.99	-2.03
20.12	-2.01
20.26	-2.00
20.39	-2.03
20.52	-2.01
20.66	-2.01
20.79	-2.01
20.92	-2.01
21.06	-2.01
21.19	-2.02
21.32	-2.03
21.46	-2.04
21.59	-2.05
21.72	-2.04
21.86	-2.08
21.99	-2.08
22.12	-2.11
22.26	-2.10
22.39	-2.12
22.52	-2.14
22.66	-2.17
22.79	-2.18
22.92	-2.19
23.06	-2.20
23.19	-2.22
23.32	-2.22
23.46	-2.23
23.59	-2.26
23.72	-2.25
23.85	-2.29
23.99	-2.28
24.12	-2.30
24.25	-2.32
24.39	-2.33
24.52	-2.35
24.65	-2.35
24.79	-2.36
24.92	-2.36
25.05	-2.36
25.19	-2.36
25.32	-2.35
25.45	-2.36
25.59	-2.36
25.72	-2.34
25.85	-2.32
25.99	-2.33
26.12	-2.32
26.25	-2.32
26.39	-2.31
26.52	-2.31
26.65	-2.31
26.79	-2.31
26.92	-2.29
27.05	-2.30
27.19	-2.30
27.32	-2.28
27.45	-2.27
27.59	-2.25
27.72	-2.27
27.85	-2.25
27.99	-2.26
28.12	-2.25
28.25	-2.25
28.39	-2.25
28.52	-2.24
28.65	-2.24
28.79	-2.23
28.92	-2.23
29.05	-2.22
29.19	-2.22
29.32	-2.21
29.45	-2.20
29.59	-2.20
29.72	-2.19
29.85	-2.17
29.99	-2.19
30.12	-2.19
30.25	-2.18
30.39	-2.18
30.52	-2.17
30.65	-2.17
30.78	-2.17
30.92	-2.16
31.05	-2.16
31.18	-2.17
31.32	-2.17
31.45	-2.16
31.58	-2.18
31.72	-2.18
31.85	-2.19
31.98	-2.19
32.12	-2.20
32.25	-2.21
32.38	-2.23
32.52	-2.25
32.65	-2.24
32.78	-2.27
32.92	-2.27
33.05	-2.29
33.18	-2.30
33.32	-2.31
33.45	-2.31
33.58	-2.32
33.72	-2.33
33.85	-2.32
33.98	-2.32
34.12	-2.30
34.25	-2.30
34.38	-2.27
34.52	-2.21
34.65	-2.09
34.78	-1.88
34.92	-1.55
35.05	-1.02
35.18	-0.16
35.32	1.08
35.45	2.95
35.58	6.04
35.72	10.53
35.85	17.03
35.98	26.36
36.12	37.90
36.25	52.51
36.38	72.56
36.52	95.73
36.65	116.47
36.78	129.79
36.92	133.35
37.05	129.72
37.18	120.68
37.32	108.95
37.45	96.14
37.58	82.60
37.71	70.87
37.85	60.94
37.98	52.02
38.11	45.10
38.25	39.67
38.38	35.23
38.51	31.79
38.65	29.00
38.78	26.39
38.91	24.18
39.05	22.23
39.18	20.39
39.31	18.79
39.45	17.41
39.58	16.06
39.71	14.91
39.85	13.90
39.98	12.91
40.11	12.09
40.25	11.38
40.38	10.68
40.51	10.09
40.65	9.61
40.78	9.13
40.91	8.73
41.05	8.36
41.18	8.02
41.31	7.77
41.45	7.56
41.58	7.35
41.71	7.13
41.85	6.97
41.98	6.82
42.11	6.71
42.25	6.61
42.38	6.53
42.51	6.49
42.65	6.44
42.78	6.42
42.91	6.43
43.05	6.42
43.18	6.45
43.31	6.50
43.45	6.58
43.58	6.66
43.71	6.77
43.85	6.88
43.98	7.03
44.11	7.21
44.25	7.38
44.38	7.57
44.51	7.80
44.64	8.07
44.78	8.35
44.91	8.64
45.04	8.98
45.18	9.36
45.31	9.76
45.44	10.19
45.58	10.65
45.71	11.15
45.84	11.67
45.98	12.24
46.11	12.88
46.24	13.50
46.38	14.17
46.51	14.90
46.64	15.63
46.78	16.41
46.91	17.24
47.04	18.07
47.18	18.90
47.31	19.79
47.44	20.67
47.58	21.57
47.71	22.49
47.84	23.38
