ml	 mAU
31.75	2462.80
31.83	2470.16
31.92	2469.00
32.01	2473.32
32.10	2456.27
32.19	2483.74
32.28	2488.22
32.37	2494.20
32.46	2492.07
32.55	2483.67
32.63	2495.34
32.72	2503.04
32.81	2505.43
32.90	2509.12
32.99	2541.32
33.08	2536.06
33.17	2528.21
33.26	2517.90
33.35	2506.26
33.43	2506.83
33.52	2544.13
33.61	2549.62
33.70	2544.10
33.79	2508.36
33.88	2426.84
33.97	2316.36
34.06	2213.56
34.15	2087.06
34.23	1958.44
34.32	1808.52
34.41	1639.27
34.50	1470.12
34.59	1291.50
34.68	1135.25
34.77	985.07
34.86	858.89
34.95	746.40
35.04	653.80
35.12	576.73
35.21	512.75
35.30	462.26
35.39	419.48
35.48	386.46
35.57	357.21
35.66	334.46
35.75	314.84
35.84	298.90
35.92	285.23
36.01	273.26
36.10	262.84
36.19	253.00
36.28	244.64
36.37	236.15
36.46	228.60
36.55	221.09
36.64	214.20
36.72	207.48
36.81	201.00
36.90	194.95
36.99	189.06
37.08	183.72
37.17	178.18
37.26	173.28
37.35	168.43
37.44	163.88
37.52	159.48
37.61	155.24
37.70	151.27
37.79	147.41
37.88	143.87
37.97	140.23
38.06	136.97
38.15	133.62
38.24	130.48
38.33	127.47
38.41	124.59
38.50	121.80
38.59	119.07
38.68	116.54
38.77	113.96
38.86	111.65
38.95	109.32
39.04	107.16
39.13	105.01
39.21	102.94
39.30	101.00
39.39	99.05
39.48	97.24
39.57	95.40
39.66	93.74
39.75	92.03
39.84	90.45
39.93	88.86
40.01	87.36
40.10	85.91
40.19	84.47
40.28	83.12
40.37	81.76
40.46	80.51
40.55	79.20
40.64	78.04
40.73	76.85
40.82	75.72
40.90	74.59
40.99	73.49
41.08	72.44
41.17	71.36
41.26	70.39
41.35	69.41
41.44	68.52
41.53	67.65
41.62	66.88
41.70	66.18
41.79	65.50
41.88	64.93
41.97	64.39
42.06	63.91
42.15	63.47
42.24	63.06
42.33	62.63
42.42	62.26
42.50	61.89
42.59	61.50
42.68	61.17
42.77	60.83
42.86	60.52
42.95	60.20
43.04	59.91
43.13	59.59
43.22	59.30
43.30	59.01
43.39	58.70
43.48	58.37
43.57	58.04
43.66	57.73
43.75	57.39
43.84	57.06
43.93	56.71
44.02	56.36
44.11	56.03
44.19	55.68
44.28	55.32
44.37	54.95
44.46	54.61
44.55	54.24
44.64	53.91
44.73	53.56
44.82	53.24
44.91	52.91
44.99	52.56
45.08	52.22
45.17	51.89
45.26	51.59
45.35	51.25
45.44	50.93
45.53	50.63
45.62	50.31
45.71	49.98
45.79	49.68
45.88	49.40
45.97	49.10
46.06	48.82
46.15	48.52
46.24	48.26
46.33	47.96
46.42	47.69
46.51	47.42
46.59	47.15
46.68	46.88
46.77	46.61
46.86	46.36
46.95	46.09
47.04	45.84
47.13	45.58
47.22	45.32
47.31	45.07
47.40	44.83
47.48	44.56
47.57	44.27
47.66	43.94
47.75	43.59
47.84	43.24
47.93	42.84
48.02	42.45
48.11	42.06
48.20	41.68
48.28	41.31
48.37	40.97
48.46	40.68
48.55	40.41
48.64	40.20
48.73	39.99
48.82	39.83
48.91	39.68
49.00	39.54
49.08	39.40
49.17	39.27
49.26	39.14
49.35	38.98
49.44	38.83
49.53	38.67
49.62	38.53
49.71	38.36
49.80	38.20
49.89	38.05
49.97	37.87
50.06	37.71
50.15	37.55
50.24	37.41
50.33	37.24
50.42	37.07
50.51	36.92
50.60	36.76
50.69	36.58
50.77	36.42
50.86	36.27
50.95	36.12
51.04	35.95
51.13	35.78
51.22	35.63
51.31	35.49
51.40	35.33
51.49	35.18
51.57	35.03
51.66	34.87
51.75	34.72
51.84	34.57
51.93	34.40
52.02	34.26
52.11	34.12
52.20	33.99
52.29	33.85
52.37	33.72
52.46	33.57
52.55	33.42
52.64	33.27
52.73	33.14
52.82	33.00
52.91	32.86
53.00	32.72
53.09	32.56
53.18	32.43
53.26	32.30
53.35	32.16
53.44	32.03
53.53	31.90
53.62	31.74
53.71	31.55
53.80	31.35
53.89	31.12
53.98	30.92
54.06	30.70
54.15	30.46
54.24	30.26
54.33	30.03
54.42	29.84
54.51	29.66
54.60	29.52
54.69	29.41
54.78	29.32
54.86	29.22
54.95	29.14
55.04	29.03
55.13	28.91
55.22	28.80
55.31	28.66
55.40	28.49
55.49	28.31
55.58	28.13
55.66	27.90
55.75	27.67
55.84	27.44
55.93	27.20
56.02	27.00
56.11	26.78
56.20	26.58
56.29	26.40
56.38	26.23
56.47	26.04
56.55	25.87
56.64	25.70
56.73	25.51
56.82	25.36
56.91	25.18
57.00	25.01
57.09	24.84
57.18	24.67
57.27	24.50
57.35	24.32
57.44	24.16
57.53	24.00
57.62	23.83
57.71	23.66
57.80	23.50
57.89	23.33
57.98	23.17
58.07	23.01
58.15	22.86
58.24	22.70
58.33	22.55
58.42	22.40
58.51	22.26
58.60	22.12
58.69	21.97
58.78	21.82
58.87	21.67
58.96	21.55
59.04	21.43
59.13	21.29
59.22	21.14
59.31	21.01
59.40	20.89
59.49	20.77
59.58	20.65
59.67	20.51
59.76	20.39
59.84	20.27
59.93	20.16
60.02	20.05
60.11	19.92
60.20	19.80
60.29	19.67
60.38	19.56
60.47	19.46
