ml	 mAU
111.34	-0.26
111.50	-0.25
111.66	-0.25
111.82	-0.26
111.98	-0.24
112.14	-0.26
112.30	-0.26
112.46	-0.26
112.62	-0.26
112.78	-0.27
112.94	-0.24
113.10	-0.25
113.26	-0.25
113.42	-0.22
113.58	-0.23
113.74	-0.23
113.90	-0.21
114.06	-0.22
114.22	-0.21
114.38	-0.20
114.54	-0.18
114.70	-0.19
114.86	-0.20
115.02	-0.20
115.18	-0.20
115.34	-0.21
115.50	-0.22
115.66	-0.24
115.82	-0.26
115.98	-0.28
116.14	-0.29
116.30	-0.31
116.46	-0.33
116.62	-0.34
116.78	-0.34
116.94	-0.33
117.10	-0.34
117.26	-0.33
117.42	-0.33
117.58	-0.31
117.74	-0.29
117.90	-0.28
118.06	-0.26
118.22	-0.25
118.38	-0.23
118.54	-0.23
118.70	-0.22
118.86	-0.22
119.02	-0.19
119.18	-0.20
119.34	-0.18
119.50	-0.16
119.66	-0.16
119.82	-0.15
119.98	-0.14
120.14	-0.13
120.30	-0.12
120.46	-0.13
120.62	-0.13
120.78	-0.10
120.94	-0.11
121.10	-0.13
121.26	-0.14
121.42	-0.16
121.58	-0.15
121.74	-0.20
121.90	-0.18
122.06	-0.22
122.22	-0.24
122.38	-0.24
122.54	-0.25
122.70	-0.28
122.86	-0.30
123.02	-0.33
123.18	-0.34
123.34	-0.32
123.50	-0.33
123.66	-0.32
123.82	-0.31
123.98	-0.32
