ml	 mAU
0.00	-7.04
0.16	0.02
0.32	0.02
0.48	0.03
0.64	0.04
0.80	0.04
0.96	0.04
1.12	0.05
1.28	0.06
1.44	0.07
1.60	0.07
1.76	0.08
1.92	0.10
2.08	0.11
2.24	0.10
2.40	0.11
2.56	0.12
2.72	0.11
2.88	0.11
3.04	0.11
3.20	0.08
3.36	0.07
3.52	0.06
3.68	0.05
3.84	0.03
4.00	0.00
4.16	-0.01
4.32	-0.02
4.48	-0.06
4.64	-0.07
4.80	-0.07
4.96	-0.09
5.12	-0.08
5.28	-0.08
5.44	-0.09
5.60	-0.08
5.76	-0.05
5.92	-0.05
6.08	-0.05
6.24	-0.04
6.40	-0.01
6.56	-0.01
6.72	0.01
6.88	0.01
7.04	0.01
7.20	0.02
7.36	0.03
7.52	0.04
7.68	0.06
7.84	0.06
8.00	0.06
8.16	0.07
8.32	0.10
8.48	0.11
8.64	0.11
8.80	0.11
8.96	0.10
9.12	0.11
9.28	0.10
9.44	0.09
9.60	0.09
9.76	0.08
9.92	0.06
10.08	0.04
10.24	0.02
10.40	0.00
10.56	-0.02
10.72	-0.04
10.88	-0.05
11.04	-0.07
11.20	-0.06
11.36	-0.08
11.52	-0.10
11.68	-0.11
11.84	-0.10
12.00	-0.10
12.16	-0.11
12.32	-0.12
12.48	-0.12
12.64	-0.12
12.80	-0.11
12.96	-0.10
13.12	-0.10
13.28	-0.09
13.44	-0.10
13.60	-0.08
13.76	-0.07
13.92	-0.05
14.08	-0.05
14.24	-0.05
14.40	-0.05
14.56	-0.03
14.72	-0.01
14.88	-0.01
15.04	0.00
15.20	-0.01
15.36	-0.04
15.52	-0.04
15.68	-0.04
15.84	-0.05
16.00	-0.07
16.16	-0.09
16.32	-0.09
16.48	-0.11
16.64	-0.13
16.80	-0.15
16.96	-0.16
17.12	-0.17
17.28	-0.16
17.44	-0.17
17.60	-0.16
17.76	-0.15
17.92	-0.14
18.08	-0.11
18.24	-0.11
18.40	-0.11
18.56	-0.09
18.72	-0.09
18.88	-0.09
19.04	-0.08
19.20	-0.08
19.36	-0.06
19.52	-0.04
19.68	-0.03
19.84	-0.02
20.00	0.00
20.16	0.01
20.32	0.00
20.48	0.02
20.64	0.02
20.80	0.04
20.96	0.03
21.12	0.03
21.28	0.02
21.44	0.01
21.60	0.01
21.76	-0.02
21.92	-0.02
22.08	-0.02
22.24	-0.04
22.40	-0.07
22.56	-0.07
22.72	-0.09
22.88	-0.12
23.04	-0.14
23.20	-0.14
23.36	-0.16
23.52	-0.17
23.68	-0.17
23.84	-0.19
24.00	-0.17
24.16	-0.16
24.32	-0.14
24.48	-0.13
24.64	-0.13
24.80	-0.11
24.96	-0.08
25.12	-0.09
25.28	-0.08
25.44	-0.08
25.60	-0.07
25.76	-0.06
25.92	-0.04
26.08	-0.04
26.24	-0.04
26.40	-0.03
26.56	-0.03
26.72	0.01
26.88	0.01
27.04	0.01
27.20	0.03
27.36	0.03
27.52	0.02
27.68	0.01
27.84	0.00
27.99	0.00
28.15	-0.02
28.31	-0.03
28.47	-0.03
28.63	-0.06
28.79	-0.07
28.95	-0.09
29.11	-0.12
29.27	-0.13
29.43	-0.15
29.59	-0.17
29.75	-0.19
29.91	-0.19
30.07	-0.20
30.23	-0.19
30.39	-0.19
30.55	-0.18
30.71	-0.17
30.87	-0.15
31.03	-0.14
31.19	-0.15
31.35	-0.12
31.51	-0.12
31.67	-0.10
31.83	-0.11
31.99	-0.09
32.15	-0.08
32.31	-0.07
32.47	-0.07
32.63	-0.06
32.79	-0.05
32.95	-0.02
33.11	0.00
33.27	0.00
33.43	0.01
33.59	0.00
33.75	0.01
33.91	0.01
34.07	0.01
34.23	0.00
34.39	-0.01
34.55	-0.03
34.71	-0.03
34.87	-0.04
35.03	-0.05
35.19	-0.07
35.35	-0.07
35.51	-0.08
35.67	-0.08
35.83	-0.08
35.99	-0.09
36.15	-0.06
36.31	-0.06
36.47	-0.04
36.63	-0.04
36.79	-0.05
36.95	-0.05
37.11	-0.05
37.27	-0.05
37.43	-0.05
37.59	-0.04
37.75	-0.04
37.91	-0.04
38.07	-0.05
38.23	-0.06
38.39	-0.04
38.55	-0.05
38.71	-0.04
38.87	-0.03
39.03	-0.03
39.19	-0.03
39.35	-0.04
39.51	-0.04
39.67	-0.02
39.83	-0.02
39.99	-0.01
40.15	-0.03
40.31	-0.04
40.47	-0.04
40.63	-0.05
40.79	-0.07
40.95	-0.09
41.11	-0.10
41.27	-0.11
41.43	-0.14
41.59	-0.16
41.75	-0.16
41.91	-0.18
42.07	-0.17
42.23	-0.17
42.39	-0.17
42.55	-0.16
42.71	-0.15
42.87	-0.15
43.03	-0.14
43.19	-0.13
43.35	-0.11
43.51	-0.09
43.67	-0.07
43.83	-0.07
43.99	-0.06
44.15	-0.05
44.31	-0.04
44.47	-0.03
44.63	0.00
44.79	0.01
44.95	0.02
45.11	0.03
45.27	0.05
45.43	0.08
45.59	0.06
45.75	0.09
45.91	0.09
46.07	0.09
46.23	0.09
46.39	0.07
46.55	0.07
46.71	0.04
46.87	0.03
47.03	0.00
47.19	0.01
47.35	-0.02
47.51	-0.03
47.67	-0.05
47.83	-0.06
47.99	-0.09
48.15	-0.12
48.31	-0.14
48.47	-0.12
48.63	-0.14
48.79	-0.13
48.95	-0.13
49.11	-0.12
49.27	-0.11
49.43	-0.11
49.59	-0.09
49.75	-0.07
49.91	-0.06
50.07	-0.06
50.23	-0.07
50.39	-0.07
50.55	-0.05
50.71	-0.04
50.87	-0.03
51.03	-0.03
51.19	-0.02
51.35	-0.02
51.51	-0.01
51.67	0.02
51.83	0.01
51.99	0.03
52.15	0.03
52.31	0.03
52.47	0.02
52.63	0.03
52.79	0.01
52.95	-0.01
53.11	-0.03
53.27	-0.04
53.43	-0.05
53.59	-0.07
53.75	-0.07
53.91	-0.12
54.07	-0.14
54.23	-0.14
54.39	-0.16
54.55	-0.17
54.71	-0.18
54.87	-0.18
55.03	-0.20
55.19	-0.19
55.35	-0.15
55.51	-0.15
55.67	-0.13
55.83	-0.10
55.99	-0.06
56.15	-0.04
56.31	0.00
56.47	0.06
56.63	0.10
56.79	0.18
56.95	0.25
57.11	0.35
57.27	0.45
57.43	0.58
57.59	0.71
57.75	0.90
57.91	1.09
58.07	1.29
58.23	1.51
58.39	1.76
58.55	2.00
58.71	2.24
58.87	2.50
59.03	2.74
59.19	2.96
59.35	3.20
59.51	3.41
59.67	3.59
59.83	3.74
59.99	3.88
60.15	3.98
60.31	4.07
60.47	4.09
60.63	4.11
60.79	4.11
60.95	4.08
61.11	4.03
61.27	3.97
61.43	3.89
61.59	3.79
61.75	3.67
61.91	3.56
62.07	3.42
62.23	3.28
62.39	3.14
62.55	3.00
62.71	2.84
62.87	2.69
63.03	2.55
63.19	2.42
63.35	2.29
63.51	2.14
63.67	2.01
63.83	1.90
63.99	1.78
64.15	1.67
64.31	1.55
64.47	1.44
64.63	1.37
64.79	1.25
64.95	1.18
65.11	1.07
65.27	0.99
65.43	0.89
65.59	0.83
65.75	0.74
65.91	0.66
66.07	0.59
66.23	0.53
66.39	0.47
66.55	0.41
66.71	0.33
66.87	0.28
67.03	0.25
67.19	0.22
67.35	0.20
67.51	0.18
67.67	0.16
67.83	0.15
67.99	0.13
68.15	0.14
68.31	0.12
68.47	0.13
68.63	0.12
68.79	0.10
68.95	0.10
69.11	0.09
69.27	0.09
69.43	0.06
69.59	0.08
69.75	0.08
69.91	0.09
70.07	0.08
70.23	0.08
70.39	0.10
70.55	0.11
70.71	0.10
70.87	0.09
71.03	0.10
71.19	0.10
71.35	0.09
71.51	0.06
71.67	0.06
71.83	0.04
71.99	0.04
72.15	0.02
72.31	0.02
72.47	-0.01
72.63	-0.02
72.79	-0.01
72.95	-0.04
73.11	-0.06
73.27	-0.08
73.43	-0.07
73.59	-0.07
73.75	-0.08
73.91	-0.07
74.07	-0.05
74.23	-0.04
74.39	-0.04
74.55	-0.04
74.71	-0.04
74.87	-0.02
75.03	-0.01
75.19	-0.01
75.35	-0.02
75.51	-0.01
75.67	-0.01
75.83	-0.02
75.99	0.00
76.15	0.01
76.31	-0.01
76.47	0.00
76.63	0.01
76.79	0.00
76.95	0.00
77.11	-0.01
77.27	0.00
77.43	-0.01
77.59	-0.01
77.75	-0.02
77.91	-0.05
78.07	-0.05
78.23	-0.07
78.39	-0.10
78.55	-0.11
78.71	-0.12
78.87	-0.15
79.03	-0.18
79.19	-0.19
79.35	-0.21
79.51	-0.24
79.67	-0.26
79.83	-0.29
79.99	-0.28
80.15	-0.29
80.31	-0.27
80.47	-0.28
80.63	-0.24
80.79	-0.26
80.95	-0.25
81.11	-0.24
81.27	-0.22
81.43	-0.21
81.59	-0.21
81.75	-0.19
81.91	-0.21
82.07	-0.18
82.23	-0.18
82.39	-0.16
82.55	-0.15
82.71	-0.15
82.87	-0.14
83.03	-0.13
83.19	-0.11
83.35	-0.09
83.51	-0.11
83.67	-0.10
83.82	-0.09
83.98	-0.09
84.14	-0.12
84.30	-0.12
84.46	-0.12
84.62	-0.13
84.78	-0.15
84.94	-0.16
85.10	-0.17
85.26	-0.18
85.42	-0.20
85.58	-0.22
85.74	-0.25
85.90	-0.27
86.06	-0.29
86.22	-0.30
86.38	-0.31
86.54	-0.30
86.70	-0.30
86.86	-0.32
87.02	-0.33
87.18	-0.31
87.34	-0.33
87.50	-0.31
87.66	-0.32
87.82	-0.30
87.98	-0.31
88.14	-0.31
88.30	-0.31
88.46	-0.28
88.62	-0.29
88.78	-0.27
88.94	-0.25
89.10	-0.25
89.26	-0.23
89.42	-0.25
89.58	-0.24
89.74	-0.21
89.90	-0.20
90.06	-0.20
90.22	-0.21
90.38	-0.21
90.54	-0.20
90.70	-0.20
90.86	-0.23
91.02	-0.23
91.18	-0.24
91.34	-0.26
91.50	-0.28
91.66	-0.29
91.82	-0.32
91.98	-0.33
92.14	-0.34
92.30	-0.32
92.46	-0.33
92.62	-0.31
92.78	-0.31
92.94	-0.28
93.10	-0.28
93.26	-0.27
93.42	-0.25
93.58	-0.25
93.74	-0.23
93.90	-0.22
94.06	-0.21
94.22	-0.20
94.38	-0.19
94.54	-0.18
94.70	-0.18
94.86	-0.15
95.02	-0.17
95.18	-0.14
95.34	-0.13
95.50	-0.13
95.66	-0.11
95.82	-0.11
95.98	-0.10
96.14	-0.09
96.30	-0.08
96.46	-0.09
96.62	-0.11
96.78	-0.10
96.94	-0.12
97.10	-0.13
97.26	-0.16
97.42	-0.17
97.58	-0.18
97.74	-0.19
97.90	-0.21
98.06	-0.22
98.22	-0.23
98.38	-0.24
98.54	-0.26
98.70	-0.26
98.86	-0.26
99.02	-0.25
99.18	-0.23
99.34	-0.23
99.50	-0.21
99.66	-0.19
99.82	-0.18
99.98	-0.16
100.14	-0.15
100.30	-0.13
100.46	-0.14
100.62	-0.14
100.78	-0.13
100.94	-0.12
101.10	-0.10
101.26	-0.09
101.42	-0.08
101.58	-0.07
101.74	-0.07
101.90	-0.04
102.06	-0.04
102.22	-0.03
102.38	-0.02
102.54	-0.03
102.70	-0.02
102.86	-0.05
103.02	-0.05
103.18	-0.06
103.34	-0.06
103.50	-0.09
103.66	-0.10
103.82	-0.13
103.98	-0.14
104.14	-0.16
104.30	-0.20
104.46	-0.22
104.62	-0.23
104.78	-0.24
104.94	-0.28
105.10	-0.27
105.26	-0.27
105.42	-0.27
105.58	-0.25
105.74	-0.27
105.90	-0.23
106.06	-0.21
106.22	-0.19
106.38	-0.21
106.54	-0.19
106.70	-0.18
106.86	-0.16
107.02	-0.16
107.18	-0.16
107.34	-0.16
107.50	-0.14
107.66	-0.13
107.82	-0.12
107.98	-0.11
108.14	-0.12
108.30	-0.10
108.46	-0.10
108.62	-0.07
108.78	-0.08
108.94	-0.08
109.10	-0.08
109.26	-0.07
109.42	-0.10
109.58	-0.10
109.74	-0.11
109.90	-0.14
110.06	-0.15
110.22	-0.16
110.38	-0.20
110.54	-0.21
110.70	-0.21
110.86	-0.24
111.02	-0.25
111.18	-0.24
