ml	 mAU
0.00	2.86
0.14	-0.60
0.29	-1.10
0.43	-1.53
0.58	-1.93
0.72	-2.23
0.86	-2.46
1.01	-2.69
1.15	-2.86
1.30	-3.03
1.44	-3.17
1.58	-3.31
1.73	-3.42
1.87	-3.54
2.02	-3.60
2.16	-3.68
2.30	-3.74
2.45	-3.79
2.59	-3.86
2.74	-3.91
2.88	-3.97
3.02	-4.01
3.17	-4.06
3.31	-4.09
3.45	-4.11
3.60	-4.15
3.74	-4.18
3.89	-4.21
4.03	-4.25
4.17	-4.26
4.32	-4.29
4.46	-4.31
4.61	-4.31
4.75	-4.34
4.89	-4.35
5.04	-4.37
5.18	-4.37
5.33	-4.39
5.47	-4.41
5.61	-4.42
5.76	-4.44
5.90	-4.48
6.05	-4.50
6.19	-4.54
6.33	-4.54
6.48	-4.57
6.62	-4.59
6.77	-4.63
6.91	-4.66
7.05	-4.68
7.20	-4.71
7.34	-4.74
7.49	-4.75
7.63	-4.77
7.77	-4.79
7.92	-4.79
8.06	-4.81
8.21	-4.76
8.35	-4.76
8.49	-4.72
8.64	-4.68
8.78	-4.65
8.92	-4.59
9.07	-4.55
9.21	-4.50
9.36	-4.43
9.50	-4.36
9.64	-4.28
9.79	-4.19
9.93	-4.13
10.08	-4.02
10.22	-3.94
10.36	-3.82
10.51	-3.72
10.65	-3.61
10.80	-3.49
10.94	-3.35
11.08	-3.23
11.23	-3.07
11.37	-2.93
11.52	-2.77
11.66	-2.61
11.80	-2.45
11.95	-2.28
12.09	-2.12
12.24	-1.99
12.38	-1.81
12.52	-1.65
12.67	-1.50
12.81	-1.35
12.96	-1.21
13.10	-1.07
13.24	-0.95
13.39	-0.81
13.53	-0.68
13.68	-0.57
13.82	-0.45
13.96	-0.34
14.11	-0.25
14.25	-0.16
14.40	-0.10
14.54	0.00
14.68	0.07
14.83	0.13
14.97	0.18
15.11	0.21
15.26	0.24
15.40	0.26
15.55	0.25
15.69	0.23
15.83	0.22
15.98	0.18
16.12	0.13
16.27	0.08
16.41	0.01
16.55	-0.07
16.70	-0.14
16.84	-0.23
16.99	-0.32
17.13	-0.41
17.27	-0.51
17.42	-0.58
17.56	-0.70
17.71	-0.79
17.85	-0.89
17.99	-0.99
18.14	-1.08
18.28	-1.18
18.43	-1.28
18.57	-1.38
18.71	-1.49
18.86	-1.58
19.00	-1.68
19.15	-1.77
19.29	-1.85
19.43	-1.94
19.58	-2.02
19.72	-2.10
19.87	-2.16
20.01	-2.24
20.15	-2.32
20.30	-2.38
20.44	-2.44
20.58	-2.49
20.73	-2.53
20.87	-2.55
21.02	-2.60
21.16	-2.63
21.30	-2.68
21.45	-2.71
21.59	-2.77
21.74	-2.79
21.88	-2.87
22.02	-2.90
22.17	-2.97
22.31	-3.01
22.46	-3.09
22.60	-3.16
22.74	-3.24
22.89	-3.30
23.03	-3.37
23.18	-3.44
23.32	-3.53
23.46	-3.60
23.61	-3.68
23.75	-3.76
23.90	-3.85
24.04	-3.94
24.18	-4.04
24.33	-4.12
24.47	-4.23
24.62	-4.34
24.76	-4.44
24.90	-4.54
25.05	-4.64
25.19	-4.75
25.34	-4.86
25.48	-4.98
25.62	-5.09
25.77	-5.17
25.91	-5.27
26.06	-5.37
26.20	-5.46
26.34	-5.55
26.49	-5.62
26.63	-5.69
26.77	-5.77
26.92	-5.82
27.06	-5.87
27.21	-5.92
27.35	-5.95
27.49	-5.99
27.64	-6.02
27.78	-6.03
27.93	-6.06
28.07	-6.09
28.21	-6.11
28.36	-6.12
28.50	-6.14
28.65	-6.17
28.79	-6.19
28.93	-6.21
29.08	-6.21
29.22	-6.24
29.37	-6.24
29.51	-6.25
29.65	-6.25
29.80	-6.26
29.94	-6.27
30.09	-6.27
30.23	-6.26
30.37	-6.29
30.52	-6.30
30.66	-6.30
30.81	-6.32
30.95	-6.34
31.09	-6.36
31.24	-6.39
31.38	-6.42
31.53	-6.45
31.67	-6.47
31.81	-6.48
31.96	-6.53
32.10	-6.54
32.25	-6.58
32.39	-6.61
32.53	-6.63
32.68	-6.66
32.82	-6.66
32.96	-6.66
33.11	-6.65
33.25	-6.62
33.40	-6.59
33.54	-6.51
33.68	-6.41
33.83	-6.27
33.97	-6.05
34.12	-5.69
34.26	-5.15
34.40	-4.31
34.55	-3.10
34.69	-1.13
34.84	2.02
34.98	6.84
35.12	13.28
35.27	21.87
35.41	35.38
35.56	55.63
35.70	84.90
35.84	126.55
35.99	181.73
36.13	254.75
36.28	338.33
36.42	421.78
36.56	497.98
36.71	562.37
36.85	603.00
37.00	617.05
37.14	612.90
37.28	588.89
37.43	550.37
37.57	499.14
37.72	443.79
37.86	391.52
38.00	345.83
38.15	308.87
38.29	278.53
38.43	255.38
38.58	237.65
38.72	223.01
38.87	210.57
39.01	198.76
39.15	187.68
39.30	178.09
39.44	169.27
39.59	161.05
39.73	152.72
39.87	144.33
40.02	136.25
40.16	128.02
40.31	120.37
40.45	112.81
40.59	105.75
40.74	99.53
40.88	93.57
41.03	88.21
41.17	82.85
41.31	78.23
41.46	74.44
41.60	71.02
41.75	68.09
41.89	65.48
42.03	63.42
42.18	61.92
42.32	60.90
42.47	60.51
42.61	60.67
42.75	61.54
42.90	63.00
43.04	65.41
43.19	68.39
43.33	71.93
43.47	76.92
43.62	82.23
43.76	88.42
43.91	95.29
44.05	103.08
44.19	111.42
44.34	119.86
44.48	128.97
44.62	138.14
44.77	147.79
44.91	157.36
45.06	166.55
45.20	175.60
45.34	184.28
45.49	192.54
45.63	200.15
45.78	205.85
45.92	210.69
46.06	214.87
46.21	219.11
46.35	223.02
46.50	226.02
46.64	228.20
46.78	229.52
46.93	230.00
47.07	229.66
47.22	228.52
47.36	226.67
47.50	224.43
47.65	221.25
47.79	216.99
47.94	212.55
48.08	207.86
48.22	202.81
48.37	197.30
48.51	191.63
48.66	185.88
48.80	179.99
48.94	173.99
49.09	167.84
49.23	161.63
49.38	155.82
49.52	149.93
49.66	143.93
49.81	138.19
49.95	132.56
50.09	127.26
50.24	122.16
50.38	117.26
50.53	112.52
50.67	108.10
50.81	103.91
50.96	100.02
51.10	96.22
51.25	92.57
51.39	89.16
51.53	85.93
51.68	82.88
51.82	79.92
51.97	77.21
52.11	74.63
52.25	72.24
52.40	69.93
52.54	67.57
52.69	65.16
52.83	62.81
52.97	60.51
53.12	58.31
53.26	56.08
53.41	53.88
53.55	51.80
53.69	49.73
53.84	47.69
53.98	45.73
54.13	43.84
54.27	42.11
54.41	40.43
54.56	38.83
54.70	37.22
54.85	35.68
54.99	34.27
55.13	32.94
55.28	31.70
55.42	30.52
55.57	29.33
55.71	28.33
55.85	27.38
56.00	26.47
56.14	25.68
56.28	24.93
56.43	24.29
56.57	23.74
56.72	23.30
56.86	22.89
57.00	22.59
57.15	22.37
57.29	22.26
57.44	22.26
57.58	22.33
57.72	22.57
57.87	22.87
58.01	23.33
58.16	23.91
58.30	24.70
58.44	25.53
58.59	26.44
58.73	27.56
58.88	28.93
59.02	30.65
59.16	32.67
59.31	34.85
59.45	37.36
