ml	 mAU
0.00	0.00
0.09	0.01
0.18	0.03
0.27	0.02
0.36	0.03
0.45	0.01
0.53	-0.04
0.62	-0.05
0.71	-0.04
0.80	-0.04
0.89	-0.05
0.98	-0.06
1.07	-0.07
1.16	-0.09
1.25	0.03
1.34	11.88
1.43	95.23
1.51	923.94
1.60	1956.49
1.69	2268.12
1.78	2339.79
1.87	2368.62
1.96	2391.80
2.05	2406.99
2.14	2430.88
2.23	2435.78
2.32	2440.83
2.41	2458.93
2.50	2470.04
2.58	2476.19
2.67	2484.36
2.76	2488.60
2.85	2479.65
2.94	2493.73
3.03	2485.67
3.12	2504.18
3.21	2493.89
3.30	2490.84
3.39	2524.06
3.48	2506.15
3.56	2496.24
3.65	2513.90
3.74	2515.26
3.83	2518.48
3.92	2522.66
4.01	2529.39
4.10	2516.43
4.19	2519.46
4.28	2507.22
4.37	2518.02
4.46	2520.55
4.54	2525.76
4.63	2516.78
4.72	2518.55
4.81	2505.91
4.90	2509.44
4.99	2490.64
5.08	2500.75
5.17	2518.48
5.26	2494.00
5.35	2490.61
5.44	2510.78
5.52	2497.73
5.61	2486.24
5.70	2494.41
5.79	2515.60
5.88	2517.16
5.97	2501.86
6.06	2505.45
6.15	2513.49
6.24	2519.72
6.33	2528.76
6.42	2523.87
6.51	2539.83
6.59	2530.78
6.68	2525.05
6.77	2540.71
6.86	2534.18
6.95	2541.41
7.04	2535.77
7.13	2545.99
7.22	2544.86
7.31	2548.11
7.40	2540.61
7.49	2551.53
7.57	2542.18
7.66	2544.02
7.75	2521.78
7.84	2523.64
7.93	2527.92
8.02	2532.58
8.11	2523.13
8.20	2531.82
8.29	2521.73
8.38	2519.64
8.47	2522.44
8.55	2540.84
8.64	2523.15
8.73	2516.73
8.82	2530.63
8.91	2509.60
9.00	2513.17
9.09	2529.33
9.18	2509.00
9.27	2507.56
9.36	2547.78
9.45	2525.82
9.53	2543.26
9.62	2567.66
9.71	2526.86
9.80	2518.42
9.89	2525.20
9.98	2514.15
10.07	2524.09
10.16	2525.66
10.25	2518.15
10.34	2516.77
10.43	2501.94
10.52	2506.65
10.60	2516.01
10.69	2496.31
10.78	2525.18
10.87	2505.83
10.96	2495.52
11.05	2503.13
11.14	2491.05
11.23	2506.60
11.32	2491.49
11.41	2484.01
11.50	2497.89
11.58	2484.20
11.67	2487.02
11.76	2507.60
11.85	2503.33
11.94	2481.22
12.03	2513.07
12.12	2500.80
12.21	2487.39
12.30	2501.81
12.39	2499.23
12.48	2509.59
12.56	2501.41
12.65	2514.89
12.74	2521.00
12.83	2508.15
12.92	2508.13
13.01	2502.74
13.10	2507.18
13.19	2512.41
13.28	2535.24
13.37	2487.62
13.46	2523.62
13.54	2506.92
13.63	2500.61
13.72	2510.64
13.81	2522.59
13.90	2529.68
13.99	2508.38
14.08	2517.20
14.17	2510.63
14.26	2511.29
14.35	2505.38
14.44	2520.14
14.53	2518.70
14.61	2521.59
14.70	2511.22
14.79	2523.44
14.88	2515.47
14.97	2519.26
15.06	2517.40
15.15	2528.78
15.24	2533.13
15.33	2533.64
15.42	2513.93
15.51	2526.44
15.59	2541.89
15.68	2522.94
15.77	2526.70
15.86	2540.90
15.95	2519.27
16.04	2506.04
16.13	2542.37
16.22	2537.94
16.31	2531.20
16.40	2533.29
16.49	2529.80
16.57	2532.89
16.66	2532.51
16.75	2524.25
16.84	2518.12
16.93	2522.54
17.02	2517.35
17.11	2520.24
17.20	2518.64
17.29	2524.67
17.38	2516.14
17.47	2536.38
17.56	2508.79
17.64	2520.89
17.73	2528.63
17.82	2525.93
17.91	2536.07
18.00	2535.13
18.09	2532.23
18.18	2527.37
18.27	2539.89
18.36	2544.48
18.45	2547.94
18.54	2530.43
18.62	2540.25
18.71	2542.62
18.80	2534.47
18.89	2560.69
18.98	2557.26
19.07	2554.39
19.16	2553.22
19.25	2533.32
19.34	2532.89
19.43	2547.01
19.52	2519.94
19.60	2520.76
19.69	2546.41
19.78	2515.51
19.87	2499.80
19.96	2515.65
20.05	2526.62
20.14	2516.03
20.23	2513.56
20.32	2496.72
20.41	2497.25
20.50	2494.51
20.58	2506.81
20.67	2499.32
20.76	2508.34
20.85	2523.24
20.94	2514.15
21.03	2510.75
21.12	2528.72
21.21	2509.33
21.30	2532.55
21.39	2522.90
21.48	2518.61
21.57	2511.69
21.65	2520.31
21.74	2537.08
21.83	2536.37
21.92	2526.89
22.01	2510.95
22.10	2526.84
22.19	2515.40
22.28	2524.58
22.37	2530.94
22.46	2503.14
22.55	2505.71
22.63	2504.09
22.72	2499.65
22.81	2501.37
22.90	2498.23
22.99	2488.78
23.08	2506.53
23.17	2498.78
23.26	2497.28
23.35	2485.64
23.44	2503.58
23.53	2499.71
23.61	2498.83
23.70	2503.01
23.79	2502.57
23.88	2514.18
23.97	2536.85
24.06	2515.23
24.15	2521.95
24.24	2533.42
24.33	2528.25
24.42	2530.11
24.51	2535.62
24.59	2544.24
24.68	2554.40
24.77	2538.96
24.86	2525.08
24.95	2555.36
25.04	2554.29
25.13	2531.73
25.22	2528.41
25.31	2548.11
25.40	2520.95
25.49	2524.39
25.58	2534.23
25.66	2539.47
25.75	2510.35
25.84	2529.45
25.93	2510.69
26.02	2507.02
26.11	2512.36
26.20	2508.46
26.29	2512.20
26.38	2527.97
26.47	2508.06
26.56	2525.78
26.64	2513.89
26.73	2524.81
26.82	2525.64
26.91	2534.31
27.00	2541.37
27.09	2539.78
27.18	2541.83
27.27	2550.45
27.36	2560.57
27.45	2568.53
27.54	2556.50
27.62	2577.17
27.71	2555.82
27.80	2564.21
27.89	2575.45
27.98	2575.21
28.07	2567.64
28.16	2551.71
28.25	2564.36
28.34	2568.76
28.43	2539.90
28.52	2550.85
28.60	2555.60
28.69	2544.57
28.78	2526.71
28.87	2529.58
28.96	2540.94
29.05	2523.10
29.14	2526.44
29.23	2531.80
29.32	2535.43
29.41	2513.45
29.50	2532.22
29.59	2528.15
29.67	2524.80
29.76	2531.49
29.85	2534.45
29.94	2558.51
30.03	2540.76
30.12	2547.04
30.21	2543.84
30.30	2539.88
30.39	2536.03
30.48	2547.59
30.57	2537.72
30.65	2530.59
30.74	2523.38
30.83	2528.49
30.92	2534.77
31.01	2536.97
31.10	2523.31
31.19	2517.40
31.28	2524.16
31.37	2534.55
31.46	2511.54
31.55	2521.46
31.63	2504.57
31.72	2497.75
31.81	2515.87
31.90	2511.11
31.99	2514.09
32.08	2527.13
32.17	2512.00
32.26	2526.70
32.35	2510.54
32.44	2495.74
32.53	2508.21
32.61	2509.12
32.70	2501.86
32.79	2511.02
32.88	2496.49
32.97	2441.89
33.06	2379.05
33.15	2312.34
33.24	2239.41
33.33	2165.66
33.42	2083.90
33.51	1976.70
33.60	1844.54
33.68	1695.47
33.77	1541.90
33.86	1378.42
33.95	1210.64
34.04	1054.91
34.13	917.66
34.22	801.40
34.31	696.00
34.40	606.72
34.49	537.24
34.58	480.48
34.66	431.64
34.75	390.93
34.84	357.40
34.93	330.92
35.02	308.17
35.11	287.15
35.20	268.98
35.29	254.43
35.38	241.56
35.47	229.77
35.56	219.07
35.64	209.83
35.73	201.93
35.82	194.53
35.91	187.63
36.00	181.39
36.09	175.90
36.18	170.86
36.27	165.82
36.36	161.14
36.45	157.03
36.54	153.20
36.62	149.52
36.71	145.89
36.80	142.56
36.89	139.66
36.98	136.83
37.07	133.93
37.16	131.19
37.25	128.73
37.34	126.45
37.43	124.12
37.52	121.83
37.61	119.78
37.69	117.90
37.78	115.89
37.87	113.96
